cluster,latitude,longitude,calculatedCourse
0,40.523437119639276,-74.44723635430863,163.55136041071626
1,40.521744879946645,-74.44185180980408,299.343966609684
2,40.524299081213016,-74.45493834008876,63.363297361467566
3,40.523871548163605,-74.44734364899833,113.8292608249696
4,40.52110166735484,-74.44039893329033,222.7301318640483
5,40.52171515350773,-74.4593668331748,329.79531604168585
6,40.52469004942649,-74.4560379653806,35.67827056498832
7,40.52206491206897,-74.45309825431035,260.44628218176763
8,40.52363112883506,-74.4510665816609,135.71637440265206
9,40.52224148672769,-74.44223353112127,188.40489660228386
10,40.525026863691274,-74.45227524771812,81.0882761046746
11,40.523070883421546,-74.45318279698829,277.87280256884645
12,40.523874639666666,-74.45269893300001,4.0186568424119296
13,40.52308236639566,-74.45570630623307,347.86566100888507
14,40.52389399383156,-74.4490031336892,123.81255246911344
15,40.52458608231612,-74.45167530172144,98.53322850882631
16,40.52027971090487,-74.45044434176334,236.81379394566792
17,40.52472703305786,-74.44499302747934,47.45417762929554
18,40.523039149999995,-74.45645516854067,315.692251322863
19,40.521435287697166,-74.4408216544164,209.62314209248117
20,40.52453155278528,-74.45246613237218,25.74815933368662
21,40.523922374400335,-74.45295055686518,287.4217835538554
22,40.52265065912408,-74.4408588698905,175.75915898417446
23,40.52451802943044,-74.45152768653983,87.86650460736065
24,40.52444821176706,-74.45092690230588,106.54673323428774
25,40.52359557857143,-74.4518140293003,147.7343823767913
26,40.52310015753715,-74.4527230789809,271.7292061441065
27,40.52470111391129,-74.4548752609879,57.48162985103964
28,40.523939572321424,-74.45236863839285,12.400859988487005
29,40.52232704498934,-74.44272552622601,195.47212590536273
30,40.52026383087248,-74.45332065055928,252.5392456661237
31,40.52268728641161,-74.45523923205805,307.7857178817909
32,40.523393192623764,-74.45303372831354,355.8844579861631
33,40.52410574205503,-74.4429126047726,118.74768513717278
34,40.52175446107492,-74.45835337980455,340.1437918108883
35,40.523780497272725,-74.45042832532468,129.71934872657735
36,40.520714347428566,-74.43892520731428,216.48348788954738
37,40.52421498162602,-74.45429908243902,69.13220570912418
38,40.52238705963939,-74.45754087836339,323.2967348912003
39,40.52328781399082,-74.44473174793578,169.57906040331284
40,40.52352365030928,-74.44831446680412,158.21483001437574
41,40.52432561865794,-74.45108033371523,52.05894751082245
42,40.52442241823741,-74.45047712394124,39.62514665582904
43,40.520982651752576,-74.44510352804123,229.23413608686315
44,40.522508324,-74.45105513273472,293.5307237317291
45,40.52359368360815,-74.44932558845781,283.43568983782427
46,40.521525588900104,-74.4605167654894,335.17210502634674
47,40.524663514587544,-74.45377187870707,31.187510134396245
48,40.52366558917683,-74.45060190960366,141.8604520690216
49,40.52450402519413,-74.44389335333258,43.83963456088905
50,40.52298984699454,-74.44477913770491,181.58040045681886
51,40.52434069329759,-74.45273349329759,19.583102672965705
52,40.524527624880385,-74.4512518907496,93.469370550215
53,40.52023258785425,-74.45196673441296,244.77936087075435
54,40.521205032227485,-74.45429145876777,266.5635566091695
55,40.52355161661238,-74.45118210016287,152.70142502413728
56,40.524403227467104,-74.45271118733552,74.78852971038857
57,40.52190848176692,-74.44152889680451,202.1406424673951
58,40.52404083088128,-74.44750925178441,102.774320921812
59,40.52384079847605,-74.44625828642961,109.52379357195808
